exit,10.7130537033,7.47435379028,0.0,0.0,0.0,-0.622419611342,0.782683733967
dinning room,7.42861417814,3.94701084956,0.0,0.0,0.0,0.134297940237,0.990940998873
party room,4.94748277627,4.10224296578,0.0,0.0,0.0,-0.969172832799,0.24638185843
living room,2.70748919986,0.800564848009,0.0,0.0,0.0,0.158111282775,0.987421299274
bedroom,8.45430499499,2.02432155342,0.0,0.0,0.0,0.132734528137,0.991151625656
start,0.145009040833,-0.0277137309313,0.0,0.0,0.0,-0.0167938911442,0.999858972666
start,0.145009040833,-0.0277137309313,0.0,0.0,0.0,-0.0167938911442,0.999858972666
bar,4.74859762192,5.83006954193,0.0,0.0,0.0,0.743096802116,0.669183937856
point1,6.87787723541,1.67409396172,0.0,0.0,0.0,0.754171505259,0.656677501255
point2,6.58550882339,4.56945514679,0.0,0.0,0.0,-0.997916551703,0.0645178722331
